,ticker,year,Выручка,Операционная прибыль,EBITDA,Чистая прибыль,Опер.денежный поток,CAPEX,FCF,"Див доход, ао",Дивиденды/прибыль,Опер. расходы,Себестоимость,Амортизация,Расх на персонал,Процентные расходы,Активы,Чистые активы,Долг,Чистый долг,Цена акции ао,Число акций ао,Капитализация,EV,Баланс стоимость,EPS,FCF/акцию,BV/акцию,Рентаб EBITDA,Чистая рентаб,Доходность FCF,ROE,ROA,P/E,P/FCF,P/S,P/BV,EV/EBITDA,Долг/EBITDA,R&D/CAPEX,CAPEX/Выручка,total_price,total_price_target,revenue,total_price_momentum,momentum
186,KGKC,2023,10.2,0.98,1.5,0.47,1.22,0.97,0.16,2.5,53.0,9.21,,0.5,1.74,0.207,13.4,7.19,1.76,1.63,55.2,122.5,7.38,9.01,7.19,3.84,1.31,58.7,14.7,4.6,2.4,6.5,3.5,15.7,46.1,0.72,1.03,6.01,1.09,0.0,10.0,56.58,45.32,-0.22190712971361554,35.07,0.47830950172133435
187,LSRG,2022,139.7,34.4,38.6,13.4,-70.6,5.63,-44.5,16.9,60.0,25.0,80.3,1.9,19.1,16.7,416.2,96.7,215.1,113.5,462.6,103.0,47.7,161.1,92.5,129.7,-432.2,897.7,27.6,9.6,-93.4,13.8,3.2,3.57,-1.07,0.34,0.52,4.18,2.94,0.0,4.0,540.7794,750.0999999999999,0.3271950986883203,609.2,-0.11913518873373669
188,LSRG,2023,236.2,62.5,77.7,28.4,29.8,11.5,18.0,15.4,36.0,32.4,141.3,1.9,22.6,22.1,475.6,118.6,224.1,51.6,650.0,103.0,67.0,118.6,115.0,275.2,174.7,1117.0,32.9,12.0,26.9,23.9,6.0,2.36,3.72,0.28,0.58,1.53,0.66,0.0,5.0,750.0999999999999,913.0921999999999,0.1966303302818859,540.7794,0.3271950986883203
189,LSRG,2024,239.2,65.8,72.2,28.6,-40.1,18.1,-55.5,9.3,28.0,33.6,139.8,2.1,25.0,30.2,548.7,140.4,257.0,72.8,835.4,103.0,86.1,158.9,136.8,277.6,-538.7,1327.0,30.2,12.0,-64.5,20.4,5.2,3.01,-1.55,0.36,0.63,2.2,1.01,0.0,8.0,913.0921999999999,645.8,-0.3463470029333016,750.0999999999999,0.1966303302818859
190,LPSB,2021,11.3,0.636,0.71,0.552,0.27,0.03,0.293,0.0,0.0,10.6,,,,,2.87,1.67,,-1.35,9.15,155.5,1.42,0.07,1.6,3.55,1.88,10.3,6.3,4.9,20.6,33.1,19.2,2.58,4.86,0.13,0.89,0.1,-1.9,0.0,0.0,9.15,10.3,0.11839001594816026,8.2,0.10961972501722261
191,LPSB,2022,12.2,0.91,0.945,0.78,0.965,0.1,1.02,0.0,0.0,11.3,,0.0,,,3.93,2.45,,-2.37,10.3,155.5,1.6,-0.77,2.38,5.02,6.56,15.3,7.8,6.4,63.7,31.8,19.8,2.05,1.57,0.13,0.67,-0.81,-2.51,0.0,1.0,10.3,28.5,1.0177601920390147,9.15,0.11839001594816026
192,LPSB,2023,13.0,1.44,1.48,1.42,0.92,0.17,0.98,0.0,0.0,11.7,,0.0,0.342,,4.11,3.01,,-2.51,28.5,155.5,4.42,1.91,2.95,9.13,6.3,19.0,11.4,10.9,22.1,47.2,34.5,3.12,4.51,0.34,1.5,1.29,-1.69,0.0,1.0,28.5,79.18960000000001,1.0219408897921383,10.3,1.0177601920390147
196,LENT,2022,537.4,14.4,32.6,4.85,20.2,10.2,10.0,0.0,0.0,113.0,416.7,18.2,44.2,4.92,348.0,135.2,81.1,52.1,691.0,116.0,80.1,132.2,129.9,41.8,86.6,1120.0,6.1,0.9,12.5,3.6,1.4,16.5,7.98,0.15,0.62,4.05,1.6,0.0,2.0,691.0,670.5,-0.030116121045936705,998.0,-0.36761345254379413
197,LENT,2023,615.9,13.9,33.6,-2.63,41.7,11.1,-43.0,0.0,0.0,122.7,486.3,19.6,48.2,10.2,462.2,126.9,139.9,95.4,670.5,116.0,77.8,173.1,58.4,-22.7,-370.7,503.3,5.5,-0.4,-55.3,-2.1,-0.6,-29.6,-1.81,0.13,1.33,5.16,2.84,0.0,2.0,670.5,1195.0,0.5778777616438778,691.0,-0.030116121045936705
198,LENT,2024,888.3,50.0,68.1,22.5,62.1,30.4,31.5,0.0,0.0,158.8,695.8,23.1,69.8,14.3,495.4,149.0,107.9,60.9,1195.0,116.0,138.6,199.5,76.6,194.0,271.6,660.6,7.7,2.5,22.7,15.1,4.5,6.16,4.4,0.16,1.81,2.93,0.89,0.0,3.0,1195.0,1982.0,0.5059602505243223,670.5,0.5778777616438778
