,ticker,year,Выручка,Операционная прибыль,EBITDA,Чистая прибыль,Опер.денежный поток,CAPEX,FCF,"Див доход, ао",Дивиденды/прибыль,Опер. расходы,Себестоимость,Амортизация,Расх на персонал,Процентные расходы,Активы,Чистые активы,Долг,Чистый долг,Цена акции ао,Число акций ао,Капитализация,EV,Баланс стоимость,EPS,FCF/акцию,BV/акцию,Рентаб EBITDA,Чистая рентаб,Доходность FCF,ROE,ROA,P/E,P/FCF,P/S,P/BV,EV/EBITDA,Долг/EBITDA,R&D/CAPEX,CAPEX/Выручка,total_price,total_price_target,revenue,total_price_momentum,momentum,lin_reg_pred,log_reg_pred
174,KOGK,2021,15.2,3.56,5.0,4.36,1.52,0.482,0.436,0.0,0.0,4.58,7.08,,0.425,0.108,50.8,46.7,,0.0,50600.0,0.25,12.7,12.7,46.7,17443.0,1743.0,186798.0,32.9,28.7,3.4,9.3,8.6,2.9,29.0,0.83,0.27,2.53,0.0,0.0,3.0,50600.0,37400.0,-0.3022808718729337,54200.0,-0.0687293321521806,0.20642664858985174,0.5789028233218747
176,KOGK,2023,7.86,-4.93,-4.9,-0.8,1.41,0.78,-0.06,0.0,0.0,3.1,8.8,0.0,,0.074,58.2,45.5,,0.0,53800.0,0.25,13.5,13.5,45.5,-3198.0,-239.9,181908.0,-62.3,-10.2,-0.4,-1.8,-1.4,-16.8,-224.3,1.71,0.3,-2.75,0.0,0.0,10.0,53800.0,36600.0,-0.3852252267604182,37400.0,0.3636027627472524,0.10742327429418044,0.6136768575445698
177,KTSB,2022,9.87,0.022,0.041,0.03,0.0,0.034,-0.035,0.0,0.0,4.73,4.89,0.0,0.151,0.0,2.21,0.578,0.241,-0.02,0.598,869.0,0.56,0.54,0.58,0.03,-0.04,0.67,0.4,0.3,-6.7,5.2,1.4,18.5,-15.9,0.06,0.96,13.1,-0.44,0.0,0.0,0.598,2.99,1.6094379124341005,0.598,0.0,0.4232494481093207,0.6737712773439483
178,KRSB,2021,33.6,1.51,1.64,1.27,1.32,0.458,0.948,9.8,51.0,32.1,,0.1,1.2,,6.21,2.5,0.0,-2.0,8.62,596.0,6.64,4.64,2.5,2.12,1.59,4.19,4.9,3.8,18.5,50.6,20.4,5.25,7.01,0.2,2.66,2.83,-1.22,0.0,1.0,9.46476,9.8197,0.0368151442386092,8.648,0.0902473474260334,0.11213495900825071,0.5971176259272021
179,KRSB,2022,36.2,1.54,1.79,1.29,1.76,0.827,1.17,13.0,67.0,34.6,,0.1,1.29,,7.92,3.14,0.0,-2.52,8.69,596.0,6.65,4.13,3.14,2.16,1.97,5.27,5.0,3.6,22.6,41.1,16.3,5.16,5.67,0.18,2.12,2.31,-1.41,0.0,2.0,9.8197,17.8365,0.5968563475620564,9.46476,0.0368151442386092,0.13465917514111506,0.597961365836254
180,KRSB,2023,39.4,2.02,2.13,1.77,1.62,0.52,1.36,8.1,57.0,36.9,,0.1,1.35,,9.0,4.05,0.0,-3.02,16.5,596.0,12.6,9.59,4.05,2.98,2.28,6.79,5.4,4.5,13.8,43.8,19.7,7.11,9.27,0.32,3.11,4.5,-1.42,0.0,1.0,17.8365,17.6484,-0.0106017918514749,9.8197,0.5968563475620564,-0.05044441990348944,0.56457088787367
181,KAZT,2022,98.1,36.0,39.7,38.5,29.3,5.09,25.4,11.0,31.0,13.3,50.1,3.7,6.86,1.31,115.5,81.1,16.3,-15.2,452.6,234.1,107.6,92.4,81.1,164.5,108.6,346.2,40.5,39.3,24.0,47.5,33.3,2.79,4.23,1.1,1.33,2.33,-0.38,0.0,5.0,502.3860000000001,661.072,0.2744940112659086,416.23,0.1881307564314188,0.035055108074104564,0.5724977244461328
182,KAZT,2023,80.9,16.2,20.6,12.9,7.72,6.52,2.5,4.6,47.0,16.9,50.8,4.5,7.93,0.93,120.3,85.3,11.8,-11.5,632.0,176.6,114.0,102.5,83.6,73.1,14.2,473.4,25.5,15.9,2.2,15.1,10.7,8.83,45.6,1.41,1.36,4.97,-0.56,0.0,8.0,661.072,468.639,-0.3440300105465151,502.3860000000001,0.2744940112659086,-0.03086748605157168,0.5064400970540988
183,KAZT,2024,81.0,11.1,16.8,12.5,9.35,9.5,-0.1,2.1,16.0,20.2,56.0,5.7,9.53,1.46,160.8,94.0,41.3,19.5,459.0,176.6,82.5,102.0,91.9,70.5,-0.57,520.2,20.7,15.4,-0.1,13.3,7.7,6.63,-825.3,1.02,0.9,6.08,1.16,0.0,12.0,468.639,419.0,-0.1119618293209358,661.072,-0.3440300105465151,0.10933102521630267,0.462149023659497
184,KGKC,2021,7.54,0.56,0.92,0.176,1.37,0.512,0.554,1.9,74.0,6.97,,0.4,1.0,0.179,9.8,4.69,1.85,1.74,46.8,122.5,6.41,8.15,4.69,1.44,4.52,38.3,12.2,2.3,9.7,3.8,1.8,36.4,11.6,0.85,1.37,8.86,1.89,0.0,7.0,47.68919999999999,35.07,-0.3073588930121019,54.468,-0.1329084160981402,0.07273983381641058,0.4247419471707251
185,KGKC,2022,8.69,0.47,0.97,0.322,1.39,0.84,0.31,5.0,78.0,8.22,,0.5,1.31,0.152,12.7,6.02,1.64,1.56,33.4,122.5,4.62,6.18,6.02,2.63,2.53,49.2,11.2,3.7,7.6,5.3,2.5,14.3,14.9,0.53,0.77,6.37,1.61,0.0,10.0,35.07,56.58,0.4783095017213343,47.68919999999999,-0.3073588930121019,0.1373689085521243,0.4494577670852436
186,KGKC,2023,10.2,0.98,1.5,0.47,1.22,0.97,0.16,2.5,53.0,9.21,,0.5,1.74,0.207,13.4,7.19,1.76,1.63,55.2,122.5,7.38,9.01,7.19,3.84,1.31,58.7,14.7,4.6,2.4,6.5,3.5,15.7,46.1,0.72,1.03,6.01,1.09,0.0,10.0,56.58,45.32,-0.2219071297136155,35.07,0.4783095017213343,-0.11152037303854967,0.4449034943022303
187,LSRG,2022,139.7,34.4,38.6,13.4,-70.6,5.63,-44.5,16.9,60.0,25.0,80.3,1.9,19.1,16.7,416.2,96.7,215.1,113.5,462.6,103.0,47.7,161.1,92.5,129.7,-432.2,897.7,27.6,9.6,-93.4,13.8,3.2,3.57,-1.07,0.34,0.52,4.18,2.94,0.0,4.0,540.7794,750.0999999999999,0.3271950986883203,609.2,-0.1191351887337366,0.11876099893396393,0.5012379724463331
188,LSRG,2023,236.2,62.5,77.7,28.4,29.8,11.5,18.0,15.4,36.0,32.4,141.3,1.9,22.6,22.1,475.6,118.6,224.1,51.6,650.0,103.0,67.0,118.6,115.0,275.2,174.7,1117.0,32.9,12.0,26.9,23.9,6.0,2.36,3.72,0.28,0.58,1.53,0.66,0.0,5.0,750.0999999999999,913.0922,0.1966303302818859,540.7794,0.3271950986883203,0.05449235647134721,0.5792991424821287
189,LSRG,2024,239.2,65.8,72.2,28.6,-40.1,18.1,-55.5,9.3,28.0,33.6,139.8,2.1,25.0,30.2,548.7,140.4,257.0,72.8,835.4,103.0,86.1,158.9,136.8,277.6,-538.7,1327.0,30.2,12.0,-64.5,20.4,5.2,3.01,-1.55,0.36,0.63,2.2,1.01,0.0,8.0,913.0922,645.8,-0.3463470029333016,750.0999999999999,0.1966303302818859,0.03899556563022112,0.5445453458458653
190,LPSB,2021,11.3,0.636,0.71,0.552,0.27,0.03,0.293,0.0,0.0,10.6,,,,,2.87,1.67,,-1.35,9.15,155.5,1.42,0.07,1.6,3.55,1.88,10.3,6.3,4.9,20.6,33.1,19.2,2.58,4.86,0.13,0.89,0.1,-1.9,0.0,0.0,9.15,10.3,0.1183900159481602,8.2,0.1096197250172226,0.5695968898139805,0.808908263342712
191,LPSB,2022,12.2,0.91,0.945,0.78,0.965,0.1,1.02,0.0,0.0,11.3,,0.0,,,3.93,2.45,,-2.37,10.3,155.5,1.6,-0.77,2.38,5.02,6.56,15.3,7.8,6.4,63.7,31.8,19.8,2.05,1.57,0.13,0.67,-0.81,-2.51,0.0,1.0,10.3,28.5,1.017760192039015,9.15,0.1183900159481602,0.24850509684451227,0.6815172861456446
192,LPSB,2023,13.0,1.44,1.48,1.42,0.92,0.17,0.98,0.0,0.0,11.7,,0.0,0.342,,4.11,3.01,,-2.51,28.5,155.5,4.42,1.91,2.95,9.13,6.3,19.0,11.4,10.9,22.1,47.2,34.5,3.12,4.51,0.34,1.5,1.29,-1.69,0.0,1.0,28.5,79.18960000000001,1.0219408897921385,10.3,1.017760192039015,-0.03426384035410167,0.6372872405050243
196,LENT,2022,537.4,14.4,32.6,4.85,20.2,10.2,10.0,0.0,0.0,113.0,416.7,18.2,44.2,4.92,348.0,135.2,81.1,52.1,691.0,116.0,80.1,132.2,129.9,41.8,86.6,1120.0,6.1,0.9,12.5,3.6,1.4,16.5,7.98,0.15,0.62,4.05,1.6,0.0,2.0,691.0,670.5,-0.0301161210459367,998.0,-0.3676134525437941,0.28266442878346987,0.5180898147863833
197,LENT,2023,615.9,13.9,33.6,-2.63,41.7,11.1,-43.0,0.0,0.0,122.7,486.3,19.6,48.2,10.2,462.2,126.9,139.9,95.4,670.5,116.0,77.8,173.1,58.4,-22.7,-370.7,503.3,5.5,-0.4,-55.3,-2.1,-0.6,-29.6,-1.81,0.13,1.33,5.16,2.84,0.0,2.0,670.5,1195.0,0.5778777616438778,691.0,-0.0301161210459367,0.0768522177055944,0.5182919863515948
198,LENT,2024,888.3,50.0,68.1,22.5,62.1,30.4,31.5,0.0,0.0,158.8,695.8,23.1,69.8,14.3,495.4,149.0,107.9,60.9,1195.0,116.0,138.6,199.5,76.6,194.0,271.6,660.6,7.7,2.5,22.7,15.1,4.5,6.16,4.4,0.16,1.81,2.93,0.89,0.0,3.0,1195.0,1982.0,0.5059602505243223,670.5,0.5778777616438778,-0.05310284445333485,0.525818837651174
200,LKOH,2023,7928.0,1428.0,2005.0,1155.0,1824.0,720.0,964.0,14.0,55.0,647.0,,577.0,360.0,24.7,8600.0,6384.0,396.0,-784.0,6761.0,692.9,4684.0,3900.0,6307.0,1667.0,1391.0,9103.0,25.3,14.6,20.6,18.1,13.4,4.06,4.86,0.59,0.74,1.95,-0.39,0.0,9.0,7707.540000000001,8298.186,0.0738378661842864,4763.07,0.4813066521844386,0.00030668725395520055,0.5628624200703545
201,LKOH,2024,4421.0,1057.0,1390.0,792.5,1788.0,780.0,979.0,14.6,91.0,529.8,,593.0,295.5,21.6,9283.0,6826.0,380.0,-1146.0,7241.0,692.9,5017.0,3871.0,6731.0,1144.0,1413.0,9715.0,31.4,17.9,19.5,11.6,8.5,6.33,5.12,1.13,0.75,2.78,-0.82,0.0,18.0,8298.186,6557.315,-0.2354557163093305,7707.540000000001,0.0738378661842864,0.031462062883347505,0.5160880802196848
202,MVID,2021,476.4,5.76,9.13,-7.49,19.9,14.6,-9.35,0.0,0.0,83.6,388.8,,28.5,7.9,443.4,23.2,69.1,57.0,437.9,179.8,78.7,135.8,-54.6,-41.7,-52.0,-303.9,1.9,-1.6,-11.9,-32.3,-1.7,-10.5,-8.42,0.17,-1.44,14.9,6.25,0.0,3.0,437.9,160.8,-1.0018292170624865,753.0002999999999,-0.5420750523988361,0.13672810425012916,0.4440603562176242
